rel_path,true_idx,pred_idx,true_class,pred_class
/fish/212761573.jpg,2,2,fish,fish
/frog/80321168.jpg,3,3,frog,frog
/bird/235904220.jpg,0,0,bird,bird
/fish/222489606.jpg,2,2,fish,fish
/moth/64472708.jpg,5,5,moth,moth
/spider/237405758.jpg,6,6,spider,spider
/moth/95808268.jpg,5,5,moth,moth
/bird/234142254.jpg,0,0,bird,bird
/spider/75467346.jpg,6,6,spider,spider
/frog/193668642.jpg,3,3,frog,frog
/fish/69422340.jpg,2,2,fish,fish
/fish/98594153.jpg,2,2,fish,fish
/spider/173856640.jpg,6,6,spider,spider
/bird/209622094.jpg,0,0,bird,bird
/moth/95349530.jpg,5,5,moth,moth
/monkey/101701289.jpg,4,4,monkey,monkey
/moth/240454267.jpg,5,5,moth,moth
/monkey/117620887.jpg,4,4,monkey,monkey
/spider/149914479.jpg,6,6,spider,spider
/spider/261795287.jpg,6,6,spider,spider
/fish/73545044.jpg,2,2,fish,fish
/moth/248125353.jpg,5,5,moth,moth
/spider/101463251.jpg,6,6,spider,spider
/cat/298964548.jpg,1,1,cat,cat
/bird/294084465.jpg,0,0,bird,bird
/bird/297786463.jpg,0,0,bird,bird
/moth/135609893.jpg,5,5,moth,moth
/bird/259359023.jpg,0,0,bird,bird
/fish/38272355.jpg,2,2,fish,fish
/spider/145505664.jpg,6,6,spider,spider
/spider/34278315.jpg,6,6,spider,spider
/frog/216649025.jpg,3,3,frog,frog
/moth/96981967.jpg,5,5,moth,moth
/moth/97014563.jpg,5,5,moth,moth
/bird/292192982.jpg,0,0,bird,bird
/frog/129461242.jpg,3,3,frog,frog
/bird/206351823.jpg,0,0,bird,bird
/frog/80167718.jpg,3,3,frog,frog
/frog/163103785.jpg,3,3,frog,frog
/moth/95920431.jpg,5,5,moth,moth
/fish/91749564.jpg,2,2,fish,fish
/moth/288076622.jpg,5,5,moth,moth
/spider/24827380.jpg,6,6,spider,spider
/moth/67591253.jpg,5,5,moth,moth
/frog/82758635.jpg,3,3,frog,frog
/monkey/219466117.jpg,4,4,monkey,monkey
/moth/62982309.jpg,5,5,moth,moth
/moth/245450412.jpg,5,5,moth,moth
/moth/101628309.jpg,5,5,moth,moth
/bird/228629395.jpg,0,0,bird,bird
/moth/264740339.jpg,5,5,moth,moth
/spider/52524676.jpg,6,6,spider,spider
/fish/89092292.jpg,2,2,fish,fish
/fish/55715335.jpg,2,2,fish,fish
/fish/44656745.jpg,2,2,fish,fish
/monkey/135260587.jpg,4,4,monkey,monkey
/moth/144058136.jpg,5,5,moth,moth
/cat/148471776.jpg,1,1,cat,cat
/spider/203598659.jpg,6,6,spider,spider
/frog/293045495.jpg,3,3,frog,frog
/fish/69422093.jpg,2,2,fish,fish
/fish/84746296.jpg,2,2,fish,fish
/frog/139398446.jpg,3,3,frog,frog
/moth/230211594.jpg,5,5,moth,moth
/monkey/202070266.jpg,4,4,monkey,monkey
/cat/54421572.jpg,1,1,cat,cat
/moth/187716837.jpg,5,5,moth,moth
/bird/255939582.jpg,0,0,bird,bird
/cat/149262767.jpg,1,1,cat,cat
/frog/138631397.jpg,3,3,frog,frog
/moth/52979267.jpg,5,5,moth,moth
/monkey/201122587.jpg,4,4,monkey,monkey
/monkey/112516395.jpg,4,4,monkey,monkey
/spider/75817774.jpg,6,6,spider,spider
/spider/68963774.jpg,6,6,spider,spider
/moth/97161933.jpg,5,5,moth,moth
/bird/206075396.jpg,0,0,bird,bird
/fish/39320592.jpg,2,2,fish,fish
/frog/51271633.jpg,3,3,frog,frog
/fish/258395826.jpg,2,2,fish,fish
/monkey/250975441.jpg,4,4,monkey,monkey
/spider/147645560.jpg,6,6,spider,spider
/spider/19024741.jpg,6,6,spider,spider
/bird/198284458.jpg,0,0,bird,bird
/frog/169526220.jpg,3,3,frog,frog
/spider/101954653.jpg,6,6,spider,spider
/fish/228371023.jpg,2,2,fish,fish
/spider/62283588.jpg,6,6,spider,spider
/fish/87742310.jpg,2,2,fish,fish
