rel_path,true_idx,pred_idx,true_class,pred_class
/fish/212761573.jpg,2,2,fish,fish
/frog/80321168.jpg,3,3,frog,frog
/cat/261356786.jpg,1,1,cat,cat
/bird/235904220.jpg,0,0,bird,bird
/fish/222489606.jpg,2,2,fish,fish
/monkey/198485886.jpg,4,2,monkey,fish
/moth/64472708.jpg,5,5,moth,moth
/spider/237405758.jpg,6,6,spider,spider
/moth/95808268.jpg,5,5,moth,moth
/bird/234142254.jpg,0,0,bird,bird
/spider/75467346.jpg,6,6,spider,spider
/frog/193668642.jpg,3,3,frog,frog
/fish/54271273.jpg,2,2,fish,fish
/fish/69422340.jpg,2,2,fish,fish
/fish/98594153.jpg,2,2,fish,fish
/spider/192378887.jpg,6,4,spider,monkey
/frog/125388358.jpg,3,0,frog,bird
/spider/173856640.jpg,6,6,spider,spider
/bird/209622094.jpg,0,0,bird,bird
/monkey/69438692.jpg,4,4,monkey,monkey
/moth/95349530.jpg,5,5,moth,moth
/bird/196034551.jpg,0,1,bird,cat
/cat/195866747.jpg,1,1,cat,cat
/frog/48143222.jpg,3,3,frog,frog
/spider/136970875.jpg,6,6,spider,spider
/spider/136678840.jpg,6,6,spider,spider
/monkey/101701289.jpg,4,4,monkey,monkey
/moth/240454267.jpg,5,5,moth,moth
/monkey/117620887.jpg,4,4,monkey,monkey
/spider/149914479.jpg,6,6,spider,spider
/monkey/258279705.jpg,4,4,monkey,monkey
/spider/261795287.jpg,6,6,spider,spider
/fish/195863887.jpg,2,2,fish,fish
/frog/174219824.jpg,3,3,frog,frog
/frog/267789200.jpg,3,1,frog,cat
/fish/73545044.jpg,2,2,fish,fish
/moth/248125353.jpg,5,5,moth,moth
/spider/101463251.jpg,6,6,spider,spider
/monkey/165198512.jpg,4,4,monkey,monkey
/frog/294765690.jpg,3,3,frog,frog
/cat/298964548.jpg,1,1,cat,cat
/bird/294084465.jpg,0,0,bird,bird
/bird/297786463.jpg,0,0,bird,bird
/cat/68579749.jpg,1,0,cat,bird
/monkey/195384782.jpg,4,3,monkey,frog
/spider/100535158.jpg,6,6,spider,spider
/bird/260776876.jpg,0,3,bird,frog
/moth/135609893.jpg,5,5,moth,moth
/bird/259359023.jpg,0,0,bird,bird
/cat/142604147.jpg,1,1,cat,cat
/fish/38272355.jpg,2,2,fish,fish
/monkey/180371414.jpg,4,1,monkey,cat
/spider/145505664.jpg,6,6,spider,spider
/spider/34278315.jpg,6,6,spider,spider
/frog/216649025.jpg,3,3,frog,frog
/monkey/143755109.jpg,4,4,monkey,monkey
/bird/278438048.jpg,0,4,bird,monkey
/moth/96981967.jpg,5,5,moth,moth
/moth/238123339.jpg,5,5,moth,moth
/cat/43086405.jpg,1,3,cat,frog
/spider/92729643.jpg,6,6,spider,spider
/moth/97014563.jpg,5,5,moth,moth
/monkey/153030695.jpg,4,4,monkey,monkey
/bird/292192982.jpg,0,0,bird,bird
/moth/191502139.jpg,5,5,moth,moth
/monkey/148018715.jpg,4,1,monkey,cat
/frog/129461242.jpg,3,3,frog,frog
/bird/206351823.jpg,0,0,bird,bird
/frog/80167718.jpg,3,3,frog,frog
/frog/163103785.jpg,3,3,frog,frog
/moth/95920431.jpg,5,5,moth,moth
/fish/91749564.jpg,2,2,fish,fish
/monkey/38729551.jpg,4,1,monkey,cat
/moth/288076622.jpg,5,5,moth,moth
/frog/205941292.jpg,3,3,frog,frog
/spider/24827380.jpg,6,6,spider,spider
/cat/298964178.jpg,1,1,cat,cat
/spider/195335468.jpg,6,1,spider,cat
/bird/259217530.jpg,0,0,bird,bird
/moth/67591253.jpg,5,5,moth,moth
/frog/94943947.jpg,3,1,frog,cat
/bird/266881099.jpg,0,1,bird,cat
/frog/82758635.jpg,3,3,frog,frog
/monkey/219466117.jpg,4,4,monkey,monkey
/moth/62982309.jpg,5,5,moth,moth
/monkey/233520669.jpg,4,6,monkey,spider
/fish/166704565.jpg,2,2,fish,fish
/moth/245450412.jpg,5,5,moth,moth
/monkey/146579065.jpg,4,4,monkey,monkey
